date,mktrf,smb,hml,rf,umd
2020-11-02,0.0117,0.0052,0.0102,0.0,-0.0141
2020-11-03,0.0193,0.0101,-0.002,0.0,0.0019
2020-11-04,0.0225,-0.0148,-0.0502,0.0,0.0487
2020-11-05,0.0212,0.0099,0.0053,0.0,-0.0019
2020-11-06,0.0001,-0.0086,-0.0091,0.0,0.0106
2020-11-09,0.0083,0.0077,0.067,0.0,-0.1436
2020-11-10,-0.0016,0.0156,0.0216,0.0,-0.0193
2020-11-11,0.0088,-0.0054,-0.0178,0.0,0.0334
2020-11-12,-0.0094,-0.0021,-0.0118,0.0,0.0182
2020-11-13,0.0131,0.006,0.0114,0.0,-0.0215
2020-11-16,0.0122,0.0079,0.0198,0.0,-0.033
2020-11-17,-0.002,0.0062,-0.0001,0.0,-0.0027
2020-11-18,-0.0094,-0.0004,0.0003,0.0,0.0024
2020-11-19,0.0058,0.0047,-0.0078,0.0,0.0037
2020-11-20,-0.0051,0.0067,-0.0059,0.0,0.0073
2020-11-23,0.0082,0.0088,0.0156,0.0,-0.0272
2020-11-24,0.0156,-0.0013,0.0277,0.0,-0.0382
2020-11-25,0.0002,-0.0001,-0.0133,0.0,0.0153
2020-11-27,0.0042,0.0046,-0.0162,0.0,0.0178
2020-11-30,-0.0052,-0.0098,-0.0207,0.0,0.0306
2020-12-01,0.0099,-0.0024,0.0052,0.0,-0.0078
2020-12-02,0.0011,-0.0009,0.0107,0.0,-0.0223
2020-12-03,0.0017,0.005,-0.0011,0.0,-0.0055
2020-12-04,0.0101,0.0147,0.0082,0.0,-0.0185
2020-12-07,0.0002,0.0025,-0.0102,0.0,0.0152
2020-12-08,0.0047,0.01,-0.007,0.0,0.0015
2020-12-09,-0.0103,-0.0006,0.0128,0.0,-0.0138
2020-12-10,0.0024,0.0111,-0.0046,0.0,-0.0017
2020-12-11,-0.0018,-0.0036,-0.0074,0.0,0.0062
2020-12-14,-0.0026,0.0057,-0.0151,0.0,0.0101
2020-12-15,0.0129,0.0106,0.0038,0.0,-0.0034
2020-12-16,0.0016,-0.0042,-0.004,0.0,0.0058
2020-12-17,0.0078,0.0068,-0.0071,0.0,0.0121
2020-12-18,-0.0014,0.0007,-0.0117,0.0,0.011
2020-12-21,-0.0024,0.0014,-0.0005,0.0,0.0117
2020-12-22,0.0006,0.0122,-0.0162,0.0,0.0187
2020-12-23,0.0011,0.0039,0.0203,0.0,-0.0222
